SrNo.;Institute;Program
513;Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal;Civil and Environmental Engineering (4 Years, Bachelor of Technology)
514;Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal;Food Technology (4 Years, Bachelor of Technology)
515;Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal;Electrical Engineering (4 Years, Bachelor of Technology)
516;Central University of Rajasthan, Rajasthan;Bio Medical Engineering (4 Years, Bachelor of Technology)
517;Central University of Rajasthan, Rajasthan;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
518;Central University of Rajasthan, Rajasthan;Computer Science and Engineering (4 Years, Bachelor of Technology)
519;National Institute of Food Technology Entrepreneurship and Management, Kundli;Food Technology and Management (4 Years, Bachelor of Technology)
520;National Institute of Food Technology Entrepreneurship and Management, Thanjavur;Food Technology (4 Years, Bachelor of Technology)
521;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Electrical Engineering (4 Years, Bachelor of Technology)
522;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Civil Engineering (4 Years, Bachelor of Technology)
523;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Agricultural Engineering (4 Years, Bachelor of Technology)
524;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Computer Science and Engineering (4 Years, Bachelor of Technology)
525;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Mechanical Engineering (4 Years, Bachelor of Technology)
526;North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
527;Indian Institute of Handloom Technology(IIHT), Varanasi;Handloom and Textile Technology (4 Years, Bachelor of Technology)
528;Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai);Computer Science Engineering (Data Science) (4 Years, B. Tech / B. Tech (Hons.))
529;Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai);Computer Science Engineering (Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))
530;Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai);Civil Engineering (4 Years, Bachelor of Technology)
531;Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar;Chemical Engineering (5 Years, Integrated Masters in Technology)
532;North-Eastern Hill University, Shillong;Energy Engineering (4 Years, Bachelor of Technology)
533;North-Eastern Hill University, Shillong;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
534;North-Eastern Hill University, Shillong;Biomedical Engineering (4 Years, Bachelor of Technology)
535;North-Eastern Hill University, Shillong;Information Technology (4 Years, Bachelor of Technology)
536;Central University of Jammu;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
537;Central University of Jammu;Computer Science and Engineering with specialization in Cyber Security (4 Years, Bachelor of Technology)
538;Central University of Jammu;Computer Science and Engineering (4 Years, Bachelor of Technology)
539;Central University of Jammu;Electronics and Communication Engineering (Avionics) (4 Years, Bachelor of Technology)
540;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Computer Science and Engineering (4 Years, Bachelor of Technology)
541;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Fashion and Apparel Engineering (4 Years, Bachelor of Technology)
542;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Dairy Engineering (4 Years, Bachelor of Technology)
543;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Electronics and Communication Engineering (4 Years, Bachelor of Technology)
544;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Food Engineering and Technology (4 Years, Bachelor of Technology)
545;Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University);Aeronautical Engineering (4 Years, Bachelor of Technology)
546;Central University of Haryana;Printing and Packaging Technology (4 Years, Bachelor of Technology)
547;Central University of Haryana;Electrical Engineering (4 Years, Bachelor of Technology)
548;Central University of Haryana;Computer Science and Engineering (4 Years, Bachelor of Technology)
549;Central University of Haryana;Civil Engineering (4 Years, Bachelor of Technology)
550;Birla Institute of Technology, Deoghar Off-Campus;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
551;Birla Institute of Technology, Deoghar Off-Campus;Computer Science and Engineering (4 Years, Bachelor of Technology)
552;Birla Institute of Technology, Deoghar Off-Campus;Mechanical Engineering (4 Years, Bachelor of Technology)
553;Birla Institute of Technology, Deoghar Off-Campus;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
554;Birla Institute of Technology, Patna Off-Campus;Civil Engineering (4 Years, Bachelor of Technology)
555;Birla Institute of Technology, Patna Off-Campus;Electronics and Communication Engineering (4 Years, Bachelor of Technology)
556;Birla Institute of Technology, Patna Off-Campus;Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
557;Birla Institute of Technology, Patna Off-Campus;Computer Science and Engineering (4 Years, Bachelor of Technology)
558;Birla Institute of Technology, Patna Off-Campus;Mechanical Engineering (4 Years, Bachelor of Technology)
559;Birla Institute of Technology, Patna Off-Campus;Artificial Intelligence and Machine Learning (4 Years, Bachelor of Technology)
560;Indian Institute of Handloom Technology, Salem;Handloom and Textile Technology (4 Years, Bachelor of Technology)
561;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Mechanical Engineering ( Rail Engineering) (4 Years, Bachelor of Technology)
562;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Aviation Engineering (4 Years, Bachelor of Technology)
563;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Electrical Engineering ( Rail Engineering) (4 Years, Bachelor of Technology)
564;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Artificial Intelligenece and Data Science (Transportation and Logistics) (4 Years, Bachelor of Technology)
565;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Electronics & Communication Engineering (Rail Engineering) (4 Years, Bachelor of Technology)
566;Gati Shakti Vishwavidyalaya, Vadodara;B.Tech in Civil Engineering (Rail Engineering) (4 Years, Bachelor of Technology)
567;CU Jharkhand;Integrated B. Tech.- M. Tech in Metallurgical & Materials Engineering (5 Years, Integrated B. Tech. and M. Tech.)
568;CU Jharkhand;Integrated B. Tech. - M. Tech in Electrical Engineering (5 Years, Integrated B. Tech. and M. Tech.)
569;CU Jharkhand;Integrated B. Tech. - M. Tech in Civil Engineering (5 Years, Integrated B. Tech. and M. Tech.)
570;CU Jharkhand;Integrated B. Tech. - M. Tech in Computer Science & Engineering (5 Years, Integrated B. Tech. and M. Tech.)
